,Datetime,Top_5,Frequency,Freq_sum,Comment
0,2026-02-09 10:30,russian,27,99,
1,2026-02-09 10:30,region,24,99,
2,2026-02-09 10:30,februari,18,99,
3,2026-02-09 10:30,ukrainian,16,99,
4,2026-02-09 10:30,day,14,99,
0,2026-02-09 10:30,kyiv,6,20,
1,2026-02-09 10:30,russian,4,20,
2,2026-02-09 10:30,russia,4,20,
3,2026-02-09 10:30,ukrain,3,20,
4,2026-02-09 10:30,year,3,20,
0,2026-02-09 15:17,russian,28,85,
1,2026-02-09 15:17,ukrain,18,85,
2,2026-02-09 15:17,ukrainian,13,85,
3,2026-02-09 15:17,region,13,85,
4,2026-02-09 15:17,oblast,13,85,
0,2026-02-09 15:17,kyiv,7,24,
1,2026-02-09 15:17,russian,7,24,
2,2026-02-09 15:17,russia,4,24,
3,2026-02-09 15:17,militari,3,24,
4,2026-02-09 15:17,ukrain,3,24,
0,2026-02-10 00:22,russian,23,99,
1,2026-02-10 00:22,ukrain,22,99,
2,2026-02-10 00:22,ukrainian,18,99,
3,2026-02-10 00:22,februari,18,99,
4,2026-02-10 00:22,region,18,99,
0,2026-02-10 00:22,ukrain,6,23,
1,2026-02-10 00:22,kyiv,6,23,
2,2026-02-10 00:22,ukrainian,5,23,
3,2026-02-10 00:22,dead,3,23,
4,2026-02-10 00:22,energi,3,23,
0,2026-02-10 09:35,russian,32,110,
1,2026-02-10 09:35,februari,25,110,
2,2026-02-10 09:35,region,21,110,
3,2026-02-10 09:35,ukrain,17,110,
4,2026-02-10 09:35,ukrainian,15,110,
0,2026-02-10 09:35,ukrain,5,20,
1,2026-02-10 09:35,energi,4,20,
2,2026-02-10 09:35,ukrainian,4,20,
3,2026-02-10 09:35,kyiv,4,20,
4,2026-02-10 09:35,return,3,20,
0,2026-02-10 13:55,russian,26,88,
1,2026-02-10 13:55,ukrain,22,88,
2,2026-02-10 13:55,ukrainian,17,88,
3,2026-02-10 13:55,region,12,88,
4,2026-02-10 13:55,februari,11,88,
0,2026-02-10 13:55,militari,5,20,
1,2026-02-10 13:55,return,4,20,
2,2026-02-10 13:55,us,4,20,
3,2026-02-10 13:55,kyiv,4,20,
4,2026-02-10 13:55,go,3,20,
0,2026-02-10 20:27,russian,31,84,
1,2026-02-10 20:27,ukrainian,15,84,
2,2026-02-10 20:27,ukrain,14,84,
3,2026-02-10 20:27,februari,12,84,
4,2026-02-10 20:27,region,12,84,
0,2026-02-10 20:27,return,6,24,
1,2026-02-10 20:27,us,5,24,
2,2026-02-10 20:27,kyiv,5,24,
3,2026-02-10 20:27,famili,4,24,
4,2026-02-10 20:27,soldier,4,24,
0,2026-02-11 09:23,russian,26,96,
1,2026-02-11 09:23,region,21,96,
2,2026-02-11 09:23,februari,18,96,
3,2026-02-11 09:23,ukrainian,16,96,
4,2026-02-11 09:23,ukrain,15,96,
0,2026-02-11 09:23,want,4,20,
1,2026-02-11 09:23,russia,4,20,
2,2026-02-11 09:23,russian,4,20,
3,2026-02-11 09:23,return,4,20,
4,2026-02-11 09:23,kyiv,4,20,
0,2026-02-11 15:38,russian,23,77,
1,2026-02-11 15:38,ukrain,21,77,
2,2026-02-11 15:38,region,15,77,
3,2026-02-11 15:38,forc,9,77,
4,2026-02-11 15:38,two,9,77,
0,2026-02-11 15:38,kyiv,6,21,
1,2026-02-11 15:38,ukrain,5,21,
2,2026-02-11 15:38,suspect,4,21,
3,2026-02-11 15:38,elect,3,21,
4,2026-02-11 15:38,us,3,21,
