Id|Comment
0|receiv station charg use charg drop light came decid charg charg last minut simpli stop got brick thousand uah refus return said would send servic center diagnost within day ship expens best case get station open repair even expens
1|place order thursday even receiv station alreadi friday recommend seller everyth high qualiti importantli fast import experi use delta year confid order second one real helper nowaday
2|order yesterday receiv today realli great station fulli meet specif instal uninterrupt power suppli boiler refriger light went work mountain shoulder recommend seller product
3|everyth great sent day
4|everyth great use month complaint fast charg mobil use satisfi recommend
5|good product prompt deliveri everyth excel
6|deliv address deliveri quickli day
7|high qualiti item recommend work without complaint
8|super good price fast deliveri good servic
9|thank seller like everyth
10|bought eco flow delta watt hour electrician connect panel avr charg hour charg noisi prevent rest
11|everyth work second year
12|phone guy kind told everyth everyth agre upon game persuad courier deliv good time brought favor almost want abandon purchas still receipt warranti card money persuad bring agre term sediment remain pleasant
13|satisfi station work well make littl nois time time critic wait whole month seller warn worth work home worri outag thank seller sincer recommend
14|everyth great
15|time use week left half year time use say satisfi model watt enough hour watt hour speed switch tv consol also enough up work left fulli charg poet alreadi learn necessari leav least let see work upon arriv
16|speed process order qualiti station instruct seller everyth excel comput laptop take hour togeth without heavi game take minut charg mobil thank light weight shape help condit unstabl light schedul
17|satisfi work charg station sincer grate viktor profession support qualifi advic
18|station use charg gadget turn also pull refriger
19|everyth great necessari thing especi winter station help outag
20|charg quickli minut show mani hour certain load charg remain larg number especi conveni elderli great design lightweight servic excel call right away support deliveri complet
21|order product sunday receiv monday pleasantli surpris fast deliveri
22|thank
23|seller great sent quickli order januari alreadi deliv januari realli like station work quietli charg quickli hold everyth need held advis everyon
24|work great
25|thank everyth fine
26|order arriv quickli station super
27|everyth fine work without complaint best product keep light power outag seller excel alway answer quickli clearli
28|thank much seller time deliveri good consult qualiti good order charg station boy brigad boy alreadi receiv satisfi
29|work great
30|teacher great
31|good afternoon pleas tell station arriv one power cabl discharg normal come across
32|pleasantli surpris devic charg time check right away light devic start boiler without problem also charg quickli hour without light discharg manag fulli charg half hour still work without sound light ecoflo charg light turn fan turn therefor complet satisfi
33|good even day ago receiv ecoflow check everyth work boiler also two circuit ren connect socket barrier stabil ecoflow boiler chain turn light boiler work electr light turn plug boiler network problem zero interest work first realli look forward answer
34|seller page complet set incorrectli indic charg cabl car becam critic long outag
35|test station far everyth fine
